Plate #	Row	Column	ORF
2	C	6	YBR142W
2	C	7	YMR192W
2	C	8	YMR167W
2	C	9	YOL017W
2	C	10	YKR027W
2	C	11	YDR436W
2	C	12	YLR069C
2	C	13	YLR424W
2	C	14	YPL158C
2	C	15	YLR258W
2	C	16	YPL074W
2	C	17	YMR037C
2	C	18	YKR029C
2	C	19	YDL074C
2	C	20	YPR031W
2	C	21	YOL141W
2	C	22	YHR178W
2	C	23	YPL106C
2	C	24	YPR090W
2	D	1	YDR385W
2	D	2	YGL049C
2	D	3	YKL022C
2	D	4	BLANK
2	D	5	YIL038C
2	D	6	YBR225W
2	D	7	YDR251W
2	D	8	BLANK
2	D	9	YJL176C
2	D	10	YOR129C
2	D	11	YGL229C
2	D	12	BLANK
2	D	13	YDL132W
2	D	14	YLR386W
2	D	15	YDR485C
2	D	16	BLANK
2	D	17	YGL216W
2	D	18	YGR150C
2	D	19	YCL030C
2	D	20	YLR347C
2	D	21	BLANK
2	D	22	YNL201C
2	D	23	YJL200C
2	D	24	YBR237W
2	E	1	YOR001W
2	E	2	YAL043C
2	E	3	YBL097W
2	E	4	YGL009C
2	E	5	YGL245W
2	E	6	YDR520C
2	E	7	YDL167C
2	E	8	YOL006C
2	E	9	YAL054C
2	E	10	YDL028C
2	E	11	YOR206W
2	E	12	YOR112W
2	E	13	YGL026C
2	E	14	YOR014W
2	E	15	YMR001C
2	E	16	YBR094W
2	E	17	YAR014C
2	E	18	YKL187C
2	E	19	YOR317W
2	E	20	YDR499W
2	E	21	YBR255W
2	E	22	YKR024C
2	E	23	YDR314C
2	E	24	YGR186W
2	F	1	YJL047C
2	F	2	YOR113W
2	F	3	YNL041C
2	F	4	YFR040W
2	F	5	YDL126C
2	F	6	YBR055C
2	F	7	YJL157C
2	F	8	YDR074W
2	F	9	YLL032C
2	F	10	YNL233W
2	F	11	YJR059W
2	F	12	YDR303C
2	F	13	YLR228C
2	F	14	YML099C
2	F	15	YIL095W
2	F	16	YNL221C
2	F	17	YGL083W
2	F	18	YNL256W
2	F	19	YPL180W
2	F	20	YOR217W
2	F	21	YNL186W
2	F	22	YHR047C
2	F	23	YOR035C
2	F	24	YPL105C
2	G	1	YMR277W
2	G	2	YGR237C
2	G	3	YJR119C
2	G	4	YLR144C
2	G	5	YMR237W
2	G	6	YKR010C
2	G	7	YMR172W
2	G	8	YER091C
2	G	9	YCR084C
2	G	10	YIR007W
2	G	11	YDR146C
2	G	12	YAL031C
2	G	13	YJR134C
2	G	14	YNL161W
2	G	15	YMR163C
2	G	16	YBR102C
2	G	17	YDR176W
2	G	18	YOR208W
2	G	19	YBR156C
2	G	20	YOR076C
2	G	21	YIL009W
2	G	22	YMR216C
2	G	23	YFL013C
2	G	24	YKL078W
2	H	1	YNL298W
2	H	2	YDR213W
2	H	3	YKR079C
2	H	4	YDR409W
2	H	5	YMR102C
2	H	6	YLR336C
2	H	7	YNL085W
2	H	8	YPL126W
2	H	9	YPL032C
2	H	10	YLR357W
2	H	11	YOR322C
2	H	12	YOR058C
2	H	13	YLR095C
2	H	14	YNL112W
2	H	15	YML035C
2	H	16	YOR038C
2	H	17	YBR058C
2	H	18	YDR422C
2	H	19	YBR198C
2	H	20	YPL008W
2	H	21	YOR144C
2	H	22	YAL041W
2	H	23	BLANK
